,r,r,r,t3,t3,t3,t2,t2,t2,states,chemical_mods,bead_length,max_binders,name,lp,num_beads
,x,y,z,x,y,z,x,y,z,null_reader,null_mod,,,,,
0,3397.5572607678946,2031.4682655770584,-122.81068108758492,0.8938313955860424,-0.3466117254896237,0.284474512193411,-0.26579662571133267,0.10139110840857513,0.9586824275881783,0,0,25.0,-1,poly_1,100.0,1000
1,3413.6559094559316,2027.2367303533415,-115.88105589072977,0.9126484098352124,-0.13806503863331804,0.3847218803262189,0.15337437108272511,0.9881250384671836,-0.009230965144312334,0,0,25.0,-1,,,
2,3436.0436523150356,2022.005646843832,-99.7806807235749,0.8128408691031201,-0.5595664411782291,0.1617872661551624,-0.06569481109857157,-0.36404884661488485,-0.9290600783264905,0,0,25.0,-1,,,
3,3459.4363000784833,2009.401888555933,-96.6624907492845,0.849727300532675,0.017799090434085042,-0.5269219175305042,0.48126241626524063,0.3819295975043769,0.7889970020888394,0,0,25.0,-1,,,
4,3475.4028735512716,2005.6487302747837,-107.16665385569914,0.8596375359695887,-0.1419139122795785,-0.49079909160071167,-0.0021990096557620107,0.9596109599332282,-0.2813218263750834,0,0,25.0,-1,,,
5,3495.876025421376,2001.9008761324653,-116.84138156746934,0.7871823810479146,0.43332188707950126,-0.43883486781027803,-0.5774342563134637,0.2679552295749025,-0.7712131188203513,0,0,25.0,-1,,,
6,3515.405544191919,2011.7023285327618,-129.3584478611935,0.7272749149687391,0.6490087925266804,0.2232908089011464,-0.596125109363024,0.4360742485399457,0.6741469452617915,0,0,25.0,-1,,,
7,3534.4989989286996,2026.7731836674816,-130.27920604975898,0.35505331109047145,0.7989362583679566,0.4854255879182176,-0.1323360321146717,-0.47107422017629585,0.8721102302729178,0,0,25.0,-1,,,
8,3544.767661899725,2044.6210006516137,-119.35790744935842,0.5278724873457705,0.11051226277699189,0.8421031272558173,-0.7429547250198126,-0.4203526586948325,0.5208857062287906,0,0,25.0,-1,,,
9,3561.933428252772,2049.9735923187377,-95.43802928240896,0.7966560830197972,0.5839706684923917,-0.15594019296444864,-0.4033272858415956,0.7057534558511795,0.5824424092590217,0,0,25.0,-1,,,
10,3582.5733498416994,2062.4002844654133,-96.66386214444995,0.9522413898553531,0.2890714570628021,-0.09835663784941594,-0.13447788101482272,0.686218782354224,0.7148562668911521,0,0,25.0,-1,,,
11,3606.8226762951367,2063.0436263250012,-99.01308184080702,0.6711600984284313,0.07776135737527873,-0.7372226893051781,-0.4660060967749507,0.8176762748275054,-0.33799974467760285,0,0,25.0,-1,,,
12,3622.2442517137306,2060.3390615456306,-125.32716222985323,-0.06610466262395753,-0.7075357064280228,-0.7035789918387445,0.17310019022878817,-0.7025615479540461,0.6902489373604002,0,0,25.0,-1,,,
13,3625.5862764583176,2040.895486150434,-140.06332944898352,0.21681952109796987,-0.7739696122408739,-0.5949456568844187,-0.9193992377035922,-0.36677031682100125,0.14207243383767362,0,0,25.0,-1,,,
14,3626.6217161327477,2029.0764445779278,-150.5860592371499,-0.4591802475149869,-0.6509321499711335,-0.6045170274454859,-0.6012390375753506,-0.27323349160145843,0.7509028424556191,0,0,25.0,-1,,,
15,3618.2604137903713,2016.4941976564442,-167.87070630985684,-0.6547802039929196,-0.3470692155086993,-0.6714207653539428,-0.677977074656368,0.6623602261874454,0.318788357768882,0,0,25.0,-1,,,
16,3605.212013839018,2006.3278651474966,-186.75931404825988,-0.33652932939066027,-0.2544680749535812,-0.9066388527584592,-0.9244924447612493,0.27235544967220726,0.26671375790420865,0,0,25.0,-1,,,
17,3594.326782787218,2001.9483650716343,-206.16844796430271,-0.35336698665628463,-0.4367029867865338,-0.8272981772696832,0.8508525957106465,-0.5176035178895063,-0.09020232082177994,0,0,25.0,-1,,,
18,3588.26112505038,1989.0588434846154,-225.19169882013227,-0.494546259967621,-0.6206658099106328,-0.6084389445122893,-0.7788733996643021,0.6271456956720475,-0.00667111200027197,0,0,25.0,-1,,,
