,r,r,r,t3,t3,t3,t2,t2,t2,states,chemical_mods,bead_length,max_binders,name,lp,num_beads
,x,y,z,x,y,z,x,y,z,null_reader,null_mod,,,,,
0,2346.495515830223,1274.9576280421986,-1331.806387157619,0.45464632021620477,0.808326745624455,-0.374038227810884,-0.7922133434205154,0.17507450394587554,-0.5845912560216797,0,0,25.0,-1,poly_1,100.0,1000
1,2359.6109951073854,1296.471373519574,-1340.4230766260712,0.6474021877284473,-0.1890563042634386,-0.738327922528007,0.2532111671887631,-0.8603637602368855,0.4423327988323942,0,0,25.0,-1,,,
2,2381.5773856349606,1294.4393817771906,-1355.0619356823934,0.6691309699864207,-0.19587688887099347,-0.7168653914450762,-0.02069939390124883,0.9593511540742609,-0.28145496675114084,0,0,25.0,-1,,,
3,2398.3109643545417,1291.1972115493327,-1375.6018763503455,0.44062417858071073,0.3478331265566724,-0.8275641663092433,-0.7336002284713571,-0.3917973843119515,-0.5552706677573308,0,0,25.0,-1,,,
4,2410.0910690327196,1300.2940997321327,-1389.023948136029,0.5819459187474604,0.7546470758933436,-0.30306226841376444,-0.812812124770958,0.5516592634840719,-0.187105603537717,0,0,25.0,-1,,,
5,2426.1881249148064,1317.0179869818892,-1396.3691157274461,0.8747978576610483,0.4828708353623683,-0.03955331369560966,0.3717854278042761,-0.7214064371615951,-0.5842502444423514,0,0,25.0,-1,,,
6,2444.8547854885246,1332.0644980303362,-1394.5048375044908,0.4768430426592677,0.8524283207340789,0.21444502958454792,0.753206574191778,-0.5220214000898238,0.4002168343258464,0,0,25.0,-1,,,
7,2460.2230454096366,1352.6108819300666,-1384.6663131344117,0.509825356785833,-0.22127720296339054,0.8313329688283281,-0.5908177615066819,0.6123529030484635,0.5253173277655151,0,0,25.0,-1,,,
8,2473.7911613553947,1346.8199584308973,-1367.9888490741084,0.7324095010659898,-0.4832015370194686,0.4796796820827137,-0.31084110973588386,0.3895091183999187,0.8669835357225946,0,0,25.0,-1,,,
9,2489.276244437492,1335.5159732915326,-1350.0947303979776,0.4251643415344481,0.2935310746144452,0.8561978690440203,-0.7896200234080625,-0.3420938574420886,0.5093839527956593,0,0,25.0,-1,,,
10,2496.0798961184273,1339.0510745584618,-1329.695110915197,0.1884040088542385,0.28391918784661174,0.9401562765042804,-0.1427286042522349,0.9550521227722677,-0.25981529659945357,0,0,25.0,-1,,,
11,2499.2911095521727,1350.3842220339322,-1303.502207196231,0.017855011842549548,-0.16122895311990318,0.9867555032821487,0.9463496725034349,0.32120408666701034,0.035358621163653126,0,0,25.0,-1,,,
12,2498.7413881156604,1341.8232957104183,-1277.6799150364723,-0.107347977993962,-0.22283978189707576,0.9689266449289439,-0.765145366594485,0.6408065904164225,0.06260576400560762,0,0,25.0,-1,,,
13,2499.8019927554324,1337.0516082787449,-1251.9364926896155,0.11715819867479653,-0.39331674991129717,0.9119078301838284,-0.36838622052386255,-0.8699332066663257,-0.32788383384375075,0,0,25.0,-1,,,
14,2504.195029511896,1328.9924169607827,-1224.2233098888041,0.6558894321374354,-0.4145843555694905,0.6308160309905251,-0.40324126073069066,-0.8988808523907466,-0.17149256216145897,0,0,25.0,-1,,,
15,2527.0440100405376,1320.3165634365512,-1215.4795704916335,0.990579796181984,0.11780415063626878,-0.06981296093724576,0.12281331637881149,-0.5387869420705964,0.8334419718256386,0,0,25.0,-1,,,
16,2548.326960257443,1323.5409819618915,-1215.8836912528059,0.9967398904092142,-0.08067686392447504,0.0009135204212703668,0.08019931473327103,0.9894761774439975,-0.12043655679551792,0,0,25.0,-1,,,
17,2569.708978190724,1329.2122420469775,-1219.8986988423396,0.5193905252892688,0.7619199271091721,-0.3869257124282919,-0.5989339781748932,0.0016166666474183577,-0.8007967758432595,0,0,25.0,-1,,,
18,2587.529944740851,1342.5758182899322,-1230.332250942062,0.5145616663415883,0.04150974443123674,-0.8564480326747046,-0.11766190779918875,-0.9859606248597056,-0.11847920367385067,0,0,25.0,-1,,,
19,2602.3062271009167,1349.7871883313087,-1252.9382934260748,0.21499884692872628,0.23117158686880568,-0.9488599439677539,-0.48534845373126484,0.8683981197110455,0.10159519755195846,0,0,25.0,-1,,,
