,r,r,r,t3,t3,t3,t2,t2,t2,states,chemical_mods,bead_length,max_binders,name,lp,num_beads
,x,y,z,x,y,z,x,y,z,null_reader,null_mod,,,,,
0,-1157.5530750367682,158.3905413136261,791.8019518882895,0.42214149598516426,0.4522161532833368,-0.7856825746463314,0.6084284977226362,-0.7838231626785627,-0.12424175157039066,0,0,25.0,-1,poly_1,100.0,1000
1,-1149.1317965408552,168.3927296191116,779.4421761415286,0.28867377814162615,0.1808155402141765,-0.9401984845001151,-0.03810683569269627,-0.9790568725397026,-0.19998877326566714,0,0,25.0,-1,,,
2,-1149.1963413837823,172.9430469799504,764.7498165294071,-0.5372434904646657,0.2508268131548683,-0.8052672486701395,-0.8421306326336526,-0.21244442992732357,0.49566456580869367,0,0,25.0,-1,,,
3,-1158.1571936772796,176.59674433449896,747.7779879654399,-0.6419621652023438,-0.2290718992602871,-0.7317175981498786,0.7218364535975313,-0.5023426252107486,-0.4760294331010161,0,0,25.0,-1,,,
4,-1174.7186597113007,177.18426265065267,734.8431756690746,-0.7625303394959616,0.3138111411160181,-0.5657473367884127,0.020665122215939878,0.8858489032005111,0.4635134015817172,0,0,25.0,-1,,,
5,-1189.1547447478267,182.47535290181816,721.2042666046833,-0.6758692828170284,-0.6455447090488942,-0.35563006226456817,-0.5338749834618446,0.7614712964180307,-0.36761252262077826,0,0,25.0,-1,,,
6,-1205.081103298067,161.878045076257,710.7895705541454,-0.5487058650657304,-0.7837118939898366,-0.2910627782510724,-0.6186278125363418,0.14644247380230216,0.7719159484329448,0,0,25.0,-1,,,
7,-1217.298475061539,141.93992897063694,702.4859159806336,-0.5760768438883637,-0.8113794522867425,0.09898916285847006,0.3224003073347576,-0.11426097324079414,0.9396821121238366,0,0,25.0,-1,,,
8,-1228.7710139764092,125.78326987327989,695.8162335612535,-0.22755936840431246,-0.6400332884863162,-0.733876095469532,-0.005591765082226821,-0.7527773465690696,0.6582514706980916,0,0,25.0,-1,,,
9,-1235.454979943693,109.0880492157361,682.4339980381764,-0.39167876935416657,-0.8864203507380954,-0.24667124569828291,0.4619472893731086,0.042405828800919226,-0.88589302262996,0,0,25.0,-1,,,
10,-1241.646737977139,90.5186645271796,671.1332959360992,0.17330398765064114,-0.9380199762905815,-0.3001403870914703,-0.11908215612010217,-0.3224736113934481,0.939058150525046,0,0,25.0,-1,,,
11,-1237.7315912538588,65.46878994198684,660.7841712685237,0.4441948453136896,-0.29171531149147367,-0.847108680428331,-0.3302979720409639,0.8255881374292098,-0.4575013410040027,0,0,25.0,-1,,,
12,-1223.4901157817203,61.09357174030396,640.1429301474896,0.7354961459301377,0.15275342997146485,-0.6600846983318789,-0.39684536192870473,-0.6925157381297615,-0.60244145871303,0,0,25.0,-1,,,
13,-1201.4286937126626,59.473935961329616,622.4437305433992,0.37770497133205605,-0.583103179937344,-0.7192563077203001,-0.27354142872871856,0.6718554304468025,-0.688320686428461,0,0,25.0,-1,,,
14,-1199.4785591570014,44.35760798655329,606.2417268645809,-0.25253318031926986,-0.7167666807811524,-0.6499788597922616,0.9182797374741144,-0.389244199331531,0.0724656956631333,0,0,25.0,-1,,,
15,-1205.0672782998263,30.689901880240882,593.1681674350483,0.4625500514375551,-0.5985918519880186,-0.6540147128812972,0.06263155467029052,-0.7137673287054442,0.6975768694906752,0,0,25.0,-1,,,
16,-1188.5859166831679,17.657378428258866,580.1351337131962,0.7798578212458269,-0.3203951527223777,-0.537744107145406,0.060793254195968816,0.8937819435098896,-0.4443624845955083,0,0,25.0,-1,,,
17,-1171.8998767604073,11.266668371130777,566.2153550808332,0.1940877939937658,-0.005121588965783352,-0.9809707934309323,-0.3843263337912585,-0.9204449592912862,-0.07123444451170166,0,0,25.0,-1,,,
18,-1164.4000498457672,12.525409093734254,543.6331663264946,0.3230433834074674,0.19502413342690147,-0.9260715738172322,-0.5982065426895596,0.8003365844936311,-0.04012834184407482,0,0,25.0,-1,,,
19,-1159.4508249796825,20.88835047609885,526.6477810762036,0.6375679754087327,0.7096972386604706,-0.2997280537169724,-0.5116227461757777,0.6809279813101969,0.5240031010196928,0,0,25.0,-1,,,
20,-1145.870773573784,38.707683169226925,519.1401927266757,0.5201549778744633,0.7576224180058881,-0.39426776528230056,0.7750755034285423,-0.22483265508046413,0.590515233680094,0,0,25.0,-1,,,
21,-1135.6524374290748,59.924116472948356,513.2957713048809,0.41451954536061886,0.9032749020245741,0.1107609944857105,-0.3976327366813993,0.07029652032863279,0.914847859461848,0,0,25.0,-1,,,
22,-1126.3246740361794,81.92643832292526,520.407280888957,-0.5295870203263157,0.5252951042109716,0.6660350151504758,0.2539636394819478,-0.650976970524161,0.7153540757423122,0,0,25.0,-1,,,
23,-1137.8153991015358,99.84346835040282,537.4150347031427,-0.41066472439455864,0.8676209935682602,-0.28033604061847833,0.5385440285710547,0.47890591496194385,0.6932672312443673,0,0,25.0,-1,,,
24,-1151.061245088638,122.4044624297697,530.2437540471019,0.2173827308866624,0.7232000298949132,-0.6555352508326515,-0.9547487260384846,0.2971999566942184,0.011271906704865664,0,0,25.0,-1,,,
25,-1144.9623883871236,140.11327854461132,518.1756965127194,0.05065993306965854,0.9731016966494783,-0.22473686651373953,-0.6205410563916066,0.20698685163617725,0.7563631671316765,0,0,25.0,-1,,,
26,-1145.2485487128552,166.01385008155063,514.1763764698444,0.10691533238693403,0.99063169252481,0.0849585868350139,-0.6255168067153647,0.1334363893705599,-0.7687154574476474,0,0,25.0,-1,,,
27,-1150.0134577880174,183.4968793732911,512.3027183175599,-0.8702671739873649,0.42669589787810924,0.2461009074029941,0.29729337271046763,0.05663193635418809,0.9531051748561465,0,0,25.0,-1,,,
28,-1165.9930330141792,188.54361631919753,519.0193912613759,-0.8344039927533731,-0.47405915798459075,0.2811367845344526,0.13713106020906654,0.315480942063135,0.9389711643768617,0,0,25.0,-1,,,
29,-1186.6929410633904,176.64418475318084,524.7354607544269,-0.9812647512575583,-0.03534994715502902,-0.18939342434470743,0.19238851993442782,-0.1272174326843833,-0.9730377085338147,0,0,25.0,-1,,,
30,-1206.7448295482025,176.808354032958,519.38266853669,-0.7833527245250728,0.29387184786102505,-0.5477205911991297,0.4155739532029717,0.9028928992203779,-0.10992134445184851,0,0,25.0,-1,,,
31,-1221.8294496745823,179.98164634791843,506.479775052477,-0.6399203160564537,0.46040858007447594,-0.6152446086729491,-0.7439467716911206,-0.17064846886867455,0.6460822710555164,0,0,25.0,-1,,,
32,-1235.7517525642363,192.88380314790888,495.4500107554281,-0.6154028435685848,0.45211792787623756,-0.645653714795324,-0.4487597970018606,0.47244141218423147,0.7585603184040816,0,0,25.0,-1,,,
33,-1249.1543180783635,210.6790328269129,477.69580513102085,0.2297015469319854,0.6326255367871858,-0.7396094439299028,0.9203003219175527,0.10608116583377085,0.3765555785567626,0,0,25.0,-1,,,
34,-1243.357593630243,227.99107396045508,458.2763172281138,-0.010079275985583277,0.5652445448685736,-0.8248618143060092,0.9675468434288401,0.213803954756287,0.13468843569492112,0,0,25.0,-1,,,
35,-1244.115760648816,240.23393166776611,431.83475131637783,-0.23659492721076908,0.3211584802384975,-0.9169951313922713,0.2775663321241725,-0.8821179269966536,-0.38055866059044674,0,0,25.0,-1,,,
36,-1256.2246636512316,247.5948745691146,414.56620163182765,-0.8041024936761728,0.01579021472260726,-0.5942809510580528,-0.5893059477790974,0.1105643683108482,0.8003087031764231,0,0,25.0,-1,,,
37,-1282.721652995862,245.70245092575416,400.1543866439412,-0.5831662752402103,0.4326986072062876,-0.6875238255882762,0.8016633854618099,0.16969014938989785,-0.573185022150255,0,0,25.0,-1,,,
38,-1290.7132788060933,258.7186764564843,380.50641800164345,0.3179743626152584,0.49987794791087997,-0.805614263725974,0.4986730343518681,-0.8108634485499353,-0.3063097657984156,0,0,25.0,-1,,,
