,r,r,r,t3,t3,t3,t2,t2,t2,states,chemical_mods,bead_length,max_binders,name,lp,num_beads
,x,y,z,x,y,z,x,y,z,null_reader,null_mod,,,,,
0,-406.9124716814137,863.9611059175573,-784.2928964631702,-0.6229474655741121,-0.7605519394895056,0.18302240981346823,0.7313928465564905,-0.48327760365876404,0.48115201530077056,0,0,25.0,-1,poly_1,100.0,1000
1,-418.71223533467725,839.1358624486717,-779.3168672950936,-0.1226282183205609,-0.8464685868842503,0.5181247451240201,0.9342321891023267,0.07772585622777752,0.34809324632818256,0,0,25.0,-1,,,
2,-416.5332714557133,823.7294610980247,-772.1967557009899,-0.15782839608855692,-0.7701183001272272,0.6180679584130768,0.15227369735264756,-0.6374071977449858,-0.7553309111755752,0,0,25.0,-1,,,
3,-418.18819271010824,802.8378992441529,-751.4945181453412,-0.05093926306323397,-0.590296303155933,0.8055777218729032,0.008563769565480415,0.8063370884384707,0.5913942523212298,0,0,25.0,-1,,,
4,-412.9905406576025,786.9884652356468,-733.9890759579094,0.43656424057731524,-0.5155049521228707,0.7373373096517561,0.4808094058328975,0.8263909318716098,0.2930876029473286,0,0,25.0,-1,,,
5,-404.972249846957,776.3178423429235,-718.0306951216327,-0.24933053993420953,-0.378431958696421,0.8914165886448915,0.26904033156730817,-0.911319788306904,-0.3116304597565391,0,0,25.0,-1,,,
6,-406.92272229595005,766.5716748540405,-695.6544789577396,-0.05154633053682357,-0.708637077366857,0.7036877634338337,-0.9924083293375854,-0.04243849476174341,-0.11543258656497626,0,0,25.0,-1,,,
7,-404.91771076098536,754.3671640937845,-676.024052765525,0.5467242023325695,-0.33357735678858486,0.7679966104340882,0.8255286586390976,0.06140358939996908,-0.5610098332390764,0,0,25.0,-1,,,
8,-399.7067445660092,750.3943765659677,-658.0704569893386,-0.07768153877999778,-0.11363383773763212,0.9904811605831875,-0.595545884055227,-0.7914646991056546,-0.13750901814278302,0,0,25.0,-1,,,
9,-408.5930924855816,747.7333010910438,-630.2619170542956,-0.39275651655686183,-0.7746593367754366,0.4956260996601402,-0.4011377402226485,0.6292697925730952,0.665663609896069,0,0,25.0,-1,,,
10,-410.52990199368344,728.2365713954433,-621.6332415201231,0.26039668050122544,-0.8654607037347971,0.4279852089616813,-0.9654082593451658,-0.23956051819080112,0.10294489267115284,0,0,25.0,-1,,,
11,-406.3952082033184,705.1360842124685,-611.1509174811968,0.21484521149602842,-0.874856322035186,0.4341289565404501,-0.613631814608065,-0.46673270535157435,-0.6368803481586184,0,0,25.0,-1,,,
12,-401.46217183520514,687.3444790674588,-599.1970921785576,-0.15950810063484083,-0.8364351654280098,0.5243409004469517,0.9592312751859521,-0.005793479247513832,0.28256290683253843,0,0,25.0,-1,,,
13,-405.58046173975123,662.6952263135846,-591.6444893892857,-0.8138870917335105,-0.5750224289384424,0.08328870356203168,0.3815217514604107,-0.4207954703429463,0.8230263211556672,0,0,25.0,-1,,,
14,-425.752384008132,646.9414837641593,-590.1536295054514,-0.2942660831737661,-0.640817268697524,-0.7090562040108065,-0.032364717750175895,-0.7347980016848393,0.6775134107735297,0,0,25.0,-1,,,
15,-434.4615840006442,632.6325429655462,-600.6950570611591,-0.1587282570887624,-0.9051392214786238,-0.3943708028690168,0.7402007566074991,0.1552405502031002,-0.6542195438099858,0,0,25.0,-1,,,
16,-433.72682984965337,612.0792313957936,-607.0907605108006,0.7068042431069197,-0.5635340526187519,0.42761797609262026,-0.01239585252318329,-0.614258109989471,-0.789007805515936,0,0,25.0,-1,,,
