,r,r,r,t3,t3,t3,t2,t2,t2,states,chemical_mods,bead_length,max_binders,name,lp,num_beads
,x,y,z,x,y,z,x,y,z,null_reader,null_mod,,,,,
0,588.8290995409972,-1105.817766764434,-1992.9081335965018,0.9260489824491548,-0.3288810736954475,0.18512299016433217,-0.1949413664182761,-0.8368502640384412,-0.5115461848703786,0,0,25.0,-1,poly_1,100.0,1000
1,607.527672847384,-1118.4486288650585,-1987.8497745924426,0.7262656262496419,-0.6863289864419693,-0.03861039387633583,0.3115197150127612,0.2785377318066163,0.9084999720068374,0,0,25.0,-1,,,
2,629.7191635848855,-1137.4455836443256,-1990.763912499462,0.8929542837026756,-0.25914309429476945,-0.36807268835558077,0.07682350762389392,-0.7179447557394292,0.6918478708502063,0,0,25.0,-1,,,
3,640.7451930607455,-1144.1191915115319,-2001.0606811451921,0.8349386205156663,0.07950023444379803,-0.5445706682435056,0.3181021642354696,-0.8771870524427038,0.3596580155540354,0,0,25.0,-1,,,
4,663.1378483070522,-1145.412684109311,-2012.8956481088858,0.8685286758681559,0.23160912840907083,-0.43819533412435907,0.35110062923566415,-0.9115287656159284,0.21411132062788935,0,0,25.0,-1,,,
5,681.8950198911916,-1141.117337007996,-2026.9929572063677,0.7309719916019694,0.14582737829393264,-0.66664407538725,-0.28806064695284644,0.9515353804839991,-0.10771018233935312,0,0,25.0,-1,,,
6,699.8373086019096,-1138.5429465598406,-2041.5131264263396,0.5710167443877765,0.4442801570928493,-0.6903296456458333,-0.33147901898977344,-0.6445263467951442,-0.6889901655839806,0,0,25.0,-1,,,
7,712.2447378463721,-1127.2442470374363,-2060.4463454990255,0.3962320193567668,0.45629895607626203,-0.7967380055793412,0.5297755342131102,-0.8223616685075013,-0.20750703490013517,0,0,25.0,-1,,,
8,724.9077566892494,-1115.6331445988499,-2081.7186660794887,0.5852365882112703,0.19632773093737155,-0.7867360153812486,-0.5231201057265732,-0.649914500810856,-0.5513224978487972,0,0,25.0,-1,,,
9,740.9472857352663,-1105.3985344926132,-2100.625017944617,-0.41987386172513097,0.6440479725787913,-0.6394592631829568,-0.7904732068929848,-0.6056969638432729,-0.09101262104268282,0,0,25.0,-1,,,
10,725.1299538775975,-1092.081532736683,-2111.363467231602,-0.8296483498081532,-0.021506762471369345,-0.5578719161615033,-0.4571326270391984,-0.5474632557843495,0.7009377610565019,0,0,25.0,-1,,,
11,706.5234420267813,-1096.0205921485071,-2118.6367276769306,-0.951651482961119,-0.07119333200656086,0.29881593744021384,0.20985681017923902,0.5596938479171162,0.801687542523764,0,0,25.0,-1,,,
12,681.7396360161523,-1100.1110247003157,-2113.833604764638,-0.8046040690469104,-0.06702257237968706,0.5900171750695649,-0.4686747255928672,-0.5384523824369415,-0.700294961748886,0,0,25.0,-1,,,
13,661.9518541810654,-1100.7912177427215,-2099.712478762376,-0.6431712986546879,-0.5648631941377504,0.516972197035006,0.5356638878271768,-0.8143533243792936,-0.22336710223771283,0,0,25.0,-1,,,
14,644.5338889337235,-1112.7005927948003,-2090.6128530013825,-0.7598084638958922,-0.5982347475477101,0.25457078589311777,-0.5630431848993643,0.40969236627879646,-0.7177287349427777,0,0,25.0,-1,,,
